dataset_partition,condition,shift_family,severity,method,accuracy,nll,brier,ece,mce,mean_confidence
test,clean,none,0.0,uncalibrated,0.9555555555555556,0.17625037531510016,0.07778701777295977,0.05182537130109317,0.6796096201392068,0.9093735529346186
test,clean,none,0.0,scalar_temperature,0.9555555555555556,0.16534832285638074,0.07179320356725791,0.02553629506330781,0.5663678609928635,0.9677953271627433
test,clean,none,0.0,adaptive_temperature,0.9555555555555556,0.1834221122711578,0.07995549699486895,0.05926394784899443,0.6949687074658422,0.9018419335462269
